Level: 	Move: 	HP Inc: 	HP Dec: 	GoldGet: 	Show: 	Wait: 	Skill HP: 	Skill Hide: 	Skill Show: 	Skill Destroy: 	Time: 
GAME START
1	22	0	0	2	2	2	0	0	0	0	64
2	22	0	0	2	2	2	0	0	0	0	14
3	14	0	0	1	2	2	0	0	0	0	11
4	14	0	0	2	1	1	0	0	0	0	12
5	14	0	0	2	1	1	0	0	0	0	20
6	16	0	0	3	2	2	0	0	0	0	20
7	16	0	0	0	2	1	0	0	0	0	22
8	26	0	0	3	3	3	0	0	0	0	20
9	18	0	0	2	2	2	0	0	0	0	17
10	14	0	0	1	2	2	0	0	0	0	13
11	16	40	10	12	4	3	4	0	2	1	35
12	14	0	0	3	2	3	0	0	1	0	22
13	26	0	10	3	4	5	0	0	1	0	43
14	20	0	0	2	2	2	0	0	0	0	23
15	30	0	0	3	4	4	0	0	1	1	37
16	22	0	0	3	4	4	0	0	1	1	24
17	20	0	40	2	3	5	0	0	2	1	66
Last Level 17	Total Skill HP: 4	Total Skill Hide: 0	Total Skill Show: 8	Total Skill Destroy: 4	Total Time: 469	Average Time: 27
0	0	0	20	0	1	5	0	0	0	0	0
